Ride,Event,Rider ID,Horse ID,Placing,Time,Weight (lbs),Miles,Points,BC?,BC Points,BC Score,Pull,Pull Reason,Comments
1998 Balance Forward,,1783,2299,,,,135,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,3001,,,,455,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,3002,,,,60,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,3003,,,,55,,FALSE,,,FALSE,,
1998 Balance Forward,Senior,1783,3004,,,,85,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,3005,,,,50,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,3006,,,,280,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,3008,,,,50,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,3012,,,,50,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,3014,,,,175,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,3024,,,,25,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,3025,,,,150,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,3036,,,,60,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,3053,,,,55,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,3065,,,,80,,FALSE,,,FALSE,,
"1998 Big Gully, SK",50 miles - Senior,1220,1,,,,50,,FALSE,,,FALSE,,
1998 Manitoba GN Connection,100 miles - Senior,1017,2208,,,,100,,FALSE,,,FALSE,,
1998 WEC - U.A.E,100 miles - Senior,1017,2208,,,,100,,FALSE,,,FALSE,,
1999 Balance Forward,,1241,,,,,185,,FALSE,,,FALSE,,
1999 Big Dog 100,100 miles - Senior,1002,1,,,,100,,FALSE,,,FALSE,,
1999 Big Dog 100,,1088,2028,,,,100,,FALSE,,,FALSE,,
1999 Big Dog 100,100 miles - Senior,1122,2107,,,,100,,FALSE,,,FALSE,,
1999 Big Dog 100,100 miles - Senior,1008,2113,,,,100,,FALSE,,,FALSE,,
1999 Big Dog 100,100 miles - Senior,1151,2212,,,,100,,FALSE,,,FALSE,,
1999 Big Dog 100,100 miles - Senior,1261,2218,,,,100,,FALSE,,,FALSE,,
1999 Big Dog 100,100 miles - Senior,1053,2243,,,,100,,FALSE,,,FALSE,,
1999 Big Dog 100,100 miles - Senior,1364,3062,,,,100,,FALSE,,,FALSE,,
"1999 Bronson Forest, Sk.",50 miles - Senior,1048,2215,,,,50,,FALSE,,,FALSE,,
"1999 Bronson Forest, Sk.",50 miles - Senior,1053,2243,,,,50,,FALSE,,,FALSE,,
"1999 Bronson Forest, Sk.",50 miles - Junior,1285,3001,,,,50,,FALSE,,,FALSE,,
"1999 Bronson Forest, Sk.",25 miles - Senior,1247,3122,,,,25,,FALSE,,,FALSE,,
1999 Drayton Valley,,1102,1,,,,30,,FALSE,,,FALSE,,
1999 Drayton Valley,,1212,1,,,,30,,FALSE,,,FALSE,,
1999 Drayton Valley,50 miles - Senior,1220,1,,,,50,,FALSE,,,FALSE,,
1999 Drayton Valley,,1307,1,,,,30,,FALSE,,,FALSE,,
1999 Drayton Valley,,1308,1,,,,30,,FALSE,,,FALSE,,
1999 Drayton Valley,30 miles - Junior,1348,1,,,,30,,FALSE,,,FALSE,,
1999 Drayton Valley,,1352,1,,,,30,,FALSE,,,FALSE,,
1999 Drayton Valley,30 miles - Senior,1026,2056,,,,30,,FALSE,,,FALSE,,
1999 Drayton Valley,,1253,2064,,,,30,,FALSE,,,FALSE,,
1999 Drayton Valley,80 miles - Senior,1122,2107,,,,80,,FALSE,,,FALSE,,
1999 Drayton Valley,80 miles - Senior,1008,2113,,,,80,,FALSE,,,FALSE,,
1999 Drayton Valley,30 miles - Junior,1183,2148,,,,30,,FALSE,,,FALSE,,
1999 Drayton Valley,50 miles - Senior,1086,2200,,,,50,,FALSE,,,FALSE,,
1999 Drayton Valley,30 miles - Senior,1017,2208,,,,30,,FALSE,,,FALSE,,
1999 Drayton Valley,,1342,2209,,,,30,,FALSE,,,FALSE,,
1999 Drayton Valley,50 miles - Senior,1033,2217,,,,50,,FALSE,,,FALSE,,
1999 Drayton Valley,50 miles - Senior,1053,2243,,,,50,,FALSE,,,FALSE,,
1999 Drayton Valley,,1301,2249,,,,30,,FALSE,,,FALSE,,
1999 Drayton Valley,,1250,2254,,,,30,,FALSE,,,FALSE,,
1999 Drayton Valley,30 miles - Senior,1278,2265,,,,30,,FALSE,,,FALSE,,
1999 Drayton Valley,,1309,2288,,,,30,,FALSE,,,FALSE,,
1999 Drayton Valley,50 miles - Senior,1300,2295,,,,50,,FALSE,,,FALSE,,
1999 Drayton Valley,30 miles - Senior,1200,2296,,,,30,,FALSE,,,FALSE,,
1999 Drayton Valley,50 miles - Senior,1199,2297,,,,50,,FALSE,,,FALSE,,
1999 Drayton Valley,50 miles - Junior,1285,3001,,,,50,,FALSE,,,FALSE,,
1999 Drayton Valley,30 miles - Senior,1096,3015,,,,30,,FALSE,,,FALSE,,
1999 Drayton Valley,,1346,3020,,,,30,,FALSE,,,FALSE,,
1999 Drayton Valley,50 miles - Senior,1106,3039,,,,50,,FALSE,,,FALSE,,
1999 Drayton Valley,,1093,3048,,,,30,,FALSE,,,FALSE,,
1999 Drayton Valley,,1262,3050,,,,50,,FALSE,,,FALSE,,
1999 Drayton Valley,,1332,3052,,,,30,,FALSE,,,FALSE,,
1999 Drayton Valley,,1254,3055,,,,30,,FALSE,,,FALSE,,
1999 Drayton Valley,30 miles - Senior,1397,3098,,,,30,,FALSE,,,FALSE,,
1999 Drayton Valley,30 miles - Senior,1366,3156,,,,30,,FALSE,,,FALSE,,
1999 Edson,50 miles - Senior,1220,1,,,,50,,FALSE,,,FALSE,,
1999 Edson,,1346,1,,,,35,,FALSE,,,FALSE,,
1999 Edson,,1373,1,,,,35,,FALSE,,,FALSE,,
1999 Edson,35 miles - Senior,1397,1,,,,35,,FALSE,,,FALSE,,
1999 Edson,,1330,2036,,,,50,,FALSE,,,FALSE,,
1999 Edson,50 miles - Senior,1122,2107,,,,50,,FALSE,,,FALSE,,
1999 Edson,50 miles - Senior,1008,2113,,,,50,,FALSE,,,FALSE,,
1999 Edson,35 miles - Junior,1183,2148,,,,35,,FALSE,,,FALSE,,
1999 Edson,35 miles - Senior,1163,2166,,,,35,,FALSE,,,FALSE,,
1999 Edson,,1049,2171,,,,35,,FALSE,,,FALSE,,
1999 Edson,35 miles - Senior,1031,2202,,,,35,,FALSE,,,FALSE,,
1999 Edson,50 miles - Senior,1017,2208,,,,50,,FALSE,,,FALSE,,
1999 Edson,50 miles - Senior,1151,2212,,,,50,,FALSE,,,FALSE,,
1999 Edson,35 miles - Senior,1048,2215,,,,35,,FALSE,,,FALSE,,
1999 Edson,35 miles - Senior,1256,2230,,,,35,,FALSE,,,FALSE,,
1999 Edson,50 miles - Senior,1053,2243,,,,50,,FALSE,,,FALSE,,
1999 Edson,35 miles - Senior,1201,2247,,,,35,,FALSE,,,FALSE,,
1999 Edson,35 miles - Senior,1278,2265,,,,35,,FALSE,,,FALSE,,
1999 Edson,50 miles - Senior,1300,2295,,,,50,,FALSE,,,FALSE,,
1999 Edson,35 miles - Senior,1200,2296,,,,35,,FALSE,,,FALSE,,
1999 Edson,,1262,2299,,,,50,,FALSE,,,FALSE,,
1999 Edson,50 miles - Junior,1285,3001,,,,50,,FALSE,,,FALSE,,
1999 Edson,,1342,3010,,,,35,,FALSE,,,FALSE,,
1999 Edson,35 miles - Senior,1096,3015,,,,35,,FALSE,,,FALSE,,
1999 Edson,35 miles - Junior,1348,3020,,,,35,,FALSE,,,FALSE,,
1999 Edson,50 miles - Senior,1254,3054,,,,50,,FALSE,,,FALSE,,
1999 Edson,35 miles - Senior,1079,3061,,,,35,,FALSE,,,FALSE,,
1999 Edson,50 miles - Senior,1012,3105,,,,50,,FALSE,,,FALSE,,
1999 Edson,35 miles - Senior,1068,3124,,,,35,,FALSE,,,FALSE,,
1999 Edson,35 miles - Senior,1366,3156,,,,35,,FALSE,,,FALSE,,
1999 FEI Argentina,70 miles FEI,1017,,,,,70,,FALSE,,,FALSE,,
1999 Greystokes Gallop,60 miles - Senior,1247,2218,,,,60,,FALSE,,,FALSE,,
1999 Greystokes Gallop,50 miles - Senior,1053,2243,,,,50,,FALSE,,,FALSE,,
1999 Greystokes Gallop,50 miles - Junior,1285,3001,,,,50,,FALSE,,,FALSE,,
1999 Greystokes Gallop,50 miles - Senior,1108,3036,,,,50,,FALSE,,,FALSE,,
1999 Ironhorse,50 miles - Senior,1108,3036,,,,50,,FALSE,,,FALSE,,
1999 Lil Schmidt Memorial,50 miles - Junior,1285,3001,,,,50,,FALSE,,,FALSE,,
1999 Lil Schmidt Memorial,,1108,3036,,,,20,,FALSE,,,FALSE,,
"1999 Moose Mt., SK.",25 miles - Senior,1247,3122,,,,25,,FALSE,,,FALSE,,
1999 Pan Am Championships,100 miles - Senior,1330,1,,,,100,,FALSE,,,FALSE,,
1999 Pan Am Championships,100 miles - Senior,1337,1,,,,100,,FALSE,,,FALSE,,
1999 Pan Am Championships,100 miles - Senior,1012,2036,,,,100,,FALSE,,,FALSE,,
1999 Pan Am Championships,100 miles - Senior,1038,2121,,,,100,,FALSE,,,FALSE,,
1999 Pan Am Championships,100 miles - Senior,1017,2208,,,,100,,FALSE,,,FALSE,,
1999 Ride Over Rainbow,50 miles - Senior,1108,3036,,,,50,,FALSE,,,FALSE,,
"1999 Riverside Ride, SK",50 miles - Senior,1008,2113,,,,50,,FALSE,,,FALSE,,
1999 Rocky Mtn Challenge,50 miles - Senior,1007,1,,,,50,,FALSE,,,FALSE,,
1999 Rocky Mtn Challenge,25 miles - Senior,1314,1,,,,25,,FALSE,,,FALSE,,
1999 Rocky Mtn Challenge,25 miles - Junior,1348,1,,,,25,,FALSE,,,FALSE,,
1999 Rocky Mtn Challenge,,1361,1,,,,50,,FALSE,,,FALSE,,
1999 Rocky Mtn Challenge,50 miles - Senior,1256,2028,,,,50,,FALSE,,,FALSE,,
1999 Rocky Mtn Challenge,50 miles - Senior,1012,2036,,,,50,,FALSE,,,FALSE,,
1999 Rocky Mtn Challenge,50 miles - Senior,1260,2100,,,,50,,FALSE,,,FALSE,,
1999 Rocky Mtn Challenge,50 miles - Senior,1122,2107,,,,50,,FALSE,,,FALSE,,
1999 Rocky Mtn Challenge,50 miles - Senior,1008,2113,,,,50,,FALSE,,,FALSE,,
1999 Rocky Mtn Challenge,50 miles - Senior,1038,2121,,,,50,,FALSE,,,FALSE,,
1999 Rocky Mtn Challenge,50 miles - Senior,1406,2170,,,,50,,FALSE,,,FALSE,,
1999 Rocky Mtn Challenge,50 miles - Senior,1086,2200,,,,50,,FALSE,,,FALSE,,
1999 Rocky Mtn Challenge,50 miles - Senior,1068,2208,,,,50,,FALSE,,,FALSE,,
1999 Rocky Mtn Challenge,,1225,2209,,,,50,,FALSE,,,FALSE,,
1999 Rocky Mtn Challenge,50 miles - Senior,1151,2212,,,,50,,FALSE,,,FALSE,,
1999 Rocky Mtn Challenge,50 miles - Senior,1261,2218,,,,50,,FALSE,,,FALSE,,
1999 Rocky Mtn Challenge,,1088,2230,,,,50,,FALSE,,,FALSE,,
1999 Rocky Mtn Challenge,50 miles - Senior,1053,2243,,,,0,,FALSE,,,TRUE,,
1999 Rocky Mtn Challenge,50 miles - Senior,1551,2295,,,,50,,FALSE,,,FALSE,,
1999 Rocky Mtn Challenge,25 miles - Senior,1200,2296,,,,25,,FALSE,,,FALSE,,
1999 Rocky Mtn Challenge,25 miles - Senior,1199,2297,,,,25,,FALSE,,,FALSE,,
1999 Rocky Mtn Challenge,50 miles - Junior,1285,3001,,,,0,,FALSE,,,FALSE,,
1999 Rocky Mtn Challenge,25 miles - Senior,1321,3008,,,,25,,FALSE,,,FALSE,,
1999 Rocky Mtn Challenge,,1346,3020,,,,25,,FALSE,,,FALSE,,
1999 Rocky Mtn Challenge,25 miles - Senior,1106,3039,,,,25,,FALSE,,,FALSE,,
1999 Rocky Mtn Challenge,50 miles - Senior,1017,3054,,,,50,,TRUE,,,FALSE,,
1999 Rocky Mtn Challenge,,1259,3067,,,,25,,FALSE,,,FALSE,,
1999 Rocky Mtn Challenge,25 miles - Senior,1336,3097,,,,25,,FALSE,,,FALSE,,
1999 Roy Dool Memorial,25 miles - Senior,1007,1,,,,25,,FALSE,,,FALSE,,
1999 Roy Dool Memorial,25 miles - Junior,1348,1,,,,25,,FALSE,,,FALSE,,
1999 Roy Dool Memorial,,1352,1,,,,25,,FALSE,,,FALSE,,
1999 Roy Dool Memorial,,1373,1,,,,25,,FALSE,,,FALSE,,
1999 Roy Dool Memorial,25 miles - Senior,1397,1,,,,25,,FALSE,,,FALSE,,
1999 Roy Dool Memorial,50 miles - Senior,1256,2028,,,,50,,FALSE,,,FALSE,,
1999 Roy Dool Memorial,50 miles - Senior,1012,2036,,,,50,,FALSE,,,FALSE,,
1999 Roy Dool Memorial,25 miles - Senior,1033,2039,,,,25,,FALSE,,,FALSE,,
1999 Roy Dool Memorial,25 miles - Senior,1038,2052,,,,25,,FALSE,,,FALSE,,
1999 Roy Dool Memorial,,1253,2064,,,,25,,FALSE,,,FALSE,,
